category,api_url
Hudební kluby a festival parky,https://services6.arcgis.com/ogJAiK65nXL1mXAW/arcgis/rest/services/Hudební_kluby_a_festival_parky/FeatureServer/0/query?outFields=*&where=1%3D1&f=geojson
Muzea a galerie,https://services6.arcgis.com/ogJAiK65nXL1mXAW/arcgis/rest/services/Muzea_a_galerie/FeatureServer/0/query?outFields=*&where=1%3D1&f=geojson
Lázně,https://services6.arcgis.com/ogJAiK65nXL1mXAW/arcgis/rest/services/Lázně/FeatureServer/0/query?outFields=*&where=1%3D1&f=geojson
Golfové hřiště,https://services6.arcgis.com/ogJAiK65nXL1mXAW/arcgis/rest/services/Golfová_hřiště/FeatureServer/0/query?outFields=*&where=1%3D1&f=geojson
Trvalé záštity Rady Královehradeckého kraje (Festivaly),https://services6.arcgis.com/ogJAiK65nXL1mXAW/arcgis/rest/services/Trvalé_záštity_Rady_Královéhradeckého_kraje/FeatureServer/0/query?outFields=*&where=1%3D1&f=geojson
Přírodní parky,https://services6.arcgis.com/ogJAiK65nXL1mXAW/arcgis/rest/services/Přírodní_parky/FeatureServer/0/query?outFields=*&where=1%3D1&f=geojson
Zámky,https://services6.arcgis.com/ogJAiK65nXL1mXAW/arcgis/rest/services/Zámky/FeatureServer/0/query?outFields=*&where=1%3D1&f=geojson
Rozhledny a výhlídky,https://services6.arcgis.com/ogJAiK65nXL1mXAW/arcgis/rest/services/Rozhledny_a_vyhlídky/FeatureServer/0/query?outFields=*&where=1%3D1&f=geojson
Technické památky,https://services6.arcgis.com/ogJAiK65nXL1mXAW/arcgis/rest/services/Technické_památky/FeatureServer/0/query?outFields=*&where=1%3D1&f=geojson
Zábavní centra,https://services6.arcgis.com/ogJAiK65nXL1mXAW/arcgis/rest/services/Zábavní_centra/FeatureServer/0/query?outFields=*&where=1%3D1&f=geojson
Národní kulturní památky,https://services6.arcgis.com/ogJAiK65nXL1mXAW/arcgis/rest/services/Národní_kulturní_památky_liniové_objekty/FeatureServer/0/query?outFields=*&where=1%3D1&f=geojson
Přírodní zajímavosti,https://services6.arcgis.com/ogJAiK65nXL1mXAW/arcgis/rest/services/Přírodní_zajímavosti/FeatureServer/0/query?outFields=*&where=1%3D1&f=geojson
Hrady,https://services6.arcgis.com/ogJAiK65nXL1mXAW/arcgis/rest/services/Hrady/FeatureServer/0/query?outFields=*&where=1%3D1&f=geojson
Církevní památky,https://services6.arcgis.com/ogJAiK65nXL1mXAW/arcgis/rest/services/Církevní_památky/FeatureServer/0/query?outFields=*&where=1%3D1&f=geojson
Divadla a filharmonie,https://services6.arcgis.com/ogJAiK65nXL1mXAW/arcgis/rest/services/Divadla_a_filharmonie/FeatureServer/0/query?outFields=*&where=1%3D1&f=geojson
Rybaření,https://services6.arcgis.com/ogJAiK65nXL1mXAW/arcgis/rest/services/Rybaření/FeatureServer/0/query?outFields=*&where=1%3D1&f=geojson
Solné jeskyně,https://services6.arcgis.com/ogJAiK65nXL1mXAW/arcgis/rest/services/Solné_jeskyně/FeatureServer/0/query?outFields=*&where=1%3D1&f=geojson
Pivovary,https://services6.arcgis.com/ogJAiK65nXL1mXAW/arcgis/rest/services/Pivovary/FeatureServer/0/query?outFields=*&where=1%3D1&f=geojson
Letní sporty,https://services6.arcgis.com/ogJAiK65nXL1mXAW/arcgis/rest/services/Ostatní_letní_sporty/FeatureServer/0/query?outFields=*&where=1%3D1&f=geojson
Letní koupání,https://services6.arcgis.com/ogJAiK65nXL1mXAW/arcgis/rest/services/Letní_koupání/FeatureServer/0/query?outFields=*&where=1%3D1&f=geojson
Kina,https://services6.arcgis.com/ogJAiK65nXL1mXAW/arcgis/rest/services/Kina/FeatureServer/0/query?outFields=*&where=1%3D1&f=geojson
Zoo a zooparky,https://services6.arcgis.com/ogJAiK65nXL1mXAW/arcgis/rest/services/ZOO_a_zooparky/FeatureServer/0/query?outFields=*&where=1%3D1&f=geojson
Botanické zahrady a arboreta,https://services6.arcgis.com/ogJAiK65nXL1mXAW/arcgis/rest/services/Botanické_zahrady_a_arboreta/FeatureServer/0/query?outFields=*&where=1%3D1&f=geojson
